AIM THE OTHER WAY,CAR,SF,DAL,IND,WAS,TB,,,,,
ALL THAT JAZZ,GB,NO,HOU,LAC,CIN,NYJ,,,,,
ALLISON'S COLLEGE FUND,NE,LA,LAC,BAL,NYG,MIA,,,,,
ANIMAL FARM,PHI,CAR,LAC,BAL,ARI,MIA,CHI,,,,
AUSTINIUS,NE,KC,DEN,TB,CIN,BUF,NYG,,,,
BEAN,NE,LA,NO,KC,,,,,,,
BERNIE,HOU,SF,DAL,DET,DEN,CIN,NYJ,,,,
BERT,NO,HOU,SF,LAC,BAL,TB,,,,,
BIG G,NE,PHI,SEA,OAK,CHI,,,,,,
BILLS MAFIA,LA,GB,PIT,NYG,MIA,CHI,,,,,
BIRDS BACK TO BACK,LA,NO,ATL,TEN,DEN,,,,,,
BONEBEATER,NE,LA,GB,OAK,,,,,,,
BRAINDEAD,MIN,NO,ATL,BAL,CIN,NYJ,,,,,
BRENDO,PIT,JAX,LAC,DEN,NYG,CHI,NYJ,,,,
BRENDONT,NE,PHI,NO,KC,,,,,,,
BROWN EYED GIRL,NE,PHI,PIT,ARI,NYJ,,,,,,
CAMEL TOE PUNISHERS,MIN,NO,ATL,LAC,BAL,,,,,,
CESPEDES FAMILY PIGSKIN,ATL,KC,HOU,DET,NYG,CLE,NYJ,,,,
CHARLOTTE'S WEB,NO,KC,LAC,BAL,ARI,CLE,CHI,NYJ,,,
DB LOVES BK,NE,GB,JAX,SF,,,,,,,
DISCO STU,GB,PIT,HOU,LAC,TB,,,,,,
DOLPHIN DOLL,NO,HOU,SF,TEN,LAC,NYG,,,,,
ESKIMO BROS,PHI,PIT,NO,LAC,NYG,,,,,,
FAUDA,MIN,PIT,HOU,DEN,NYG,NYJ,,,,,
FLOODLY WATERS,NE,JAX,ATL,LAC,MIA,,,,,,
GOLDEN THUNDER,LA,CAR,OAK,BAL,NYG,CLE,MIA,,,,
GONE FISHIN,MIN,PIT,ATL,LAC,NYG,,,,,,
GREEN TEAM,LA,PIT,NO,LAC,NYG,,,,,,
GUIDO,PHI,NO,SF,IND,BUF,MIA,,,,,
HONE JOAN,NE,MIN,CAR,KC,,,,,,,
HOROWITZ,PHI,GB,NO,BAL,DEN,,,,,,
HOUSE OF GERSHONI,GB,ATL,HOU,LAC,NYG,CLE,,,,,
HULK SMASH,GB,PIT,HOU,LAC,BAL,,,,,,
IK,PHI,JAX,NO,OAK,NYG,,,,,,
JACK LIKES NEW THINGS,LA,PHI,PIT,IND,,,,,,,
JERCO,NE,PHI,PIT,TEN,,,,,,,
JUDES,MIN,TEN,LAC,BAL,BUF,NYG,MIA,NYJ,,,
KING AND QUEEN,GB,PIT,JAX,ATL,,,,,,,
KOTITE,MIN,NO,HOU,TEN,NYG,NYJ,,,,,
LIBRARY FOR ANTS,PIT,NO,LAC,BAL,DEN,CHI,NYJ,,,,
LOSERS,CAR,OAK,CIN,ARI,BUF,NYG,CLE,MIA,CHI,NYJ,
MIKE AND MIKE,NE,PIT,ATL,LAC,MIA,,,,,,
MISSION IMPOSSIBLE RAIDER NATION,LA,MIN,NO,OAK,MIA,,,,,,
MOJO'S MASTER,NE,PIT,KC,OAK,NYG,,,,,,
OUT OF MY MIND,MIN,PIT,NO,TEN,BUF,,,,,,
PHILLY SPECIAL,NE,PHI,KC,BUF,NYG,CHI,,,,,
PICKLE RICKS,NE,NO,SF,LAC,NYG,NYJ,,,,,
P-LITE,NE,LA,GB,LAC,,,,,,,
PRICE FIGHTERS,TEN,LAC,BAL,WAS,TB,CIN,ARI,MIA,CHI,,
PRINCESS CONSUELA BANANA HAMMOCK,CAR,DAL,TEN,BAL,ARI,BUF,NYG,NYJ,,,
RADBRAD,LA,GB,PIT,TB,BUF,,,,,,
STUCK IN THE MIDDLE,GB,PIT,NO,KC,NYJ,,,,,,
T-BONE,BAL,DEN,WAS,TB,CIN,BUF,NYG,CLE,MIA,CHI,NYJ
TEMPLE OWLS,NE,LA,GB,CIN,MIA,,,,,,
THE HARRIS BOYS,LA,PIT,NO,LAC,NYG,,,,,,
THE HEDGE,ATL,LAC,BAL,DEN,CIN,BUF,NYG,MIA,NYJ,,
THE THEISS IS RIGHT,NE,GB,LAC,NYG,CLE,MIA,CHI,,,,
THE U,LA,JAX,ATL,LAC,NYG,,,,,,
TODD FAMILY,PHI,LA,HOU,LAC,CLE,,,,,,
TOO MUCH SAUCE,NE,PIT,NO,LAC,CHI,,,,,,
UNDERDOGS RUN FASTER,PHI,PIT,ATL,LAC,NYG,,,,,,
UNFINISHED BUSINESS,HOU,LAC,BAL,ARI,BUF,NYG,CLE,MIA,CHI,NYJ,
