AVERY'S COLLEGE FUND,NE,LA,HOU,BAL,WAS,,,,
BEAN,LA,LAC,PIT,DAL,JAX,,,,
BEN GREENBERG ALL-STARS,CLE,PIT,DAL,MIN,NYJ,TEN,,,
BERNIE,PHI,NO,LA,CLE,,,,,
BERT,PIT,DAL,MIN,SF,JAX,CAR,,,
BIG G,KC,CHI,PIT,DEN,NYG,MIA,,,
BONEBEATER,NE,PHI,NO,PIT,,,,,
BRENDONT,KC,PHI,NO,HOU,,,,,
CAN'T PICK CRAP,KC,PHI,DAL,OAK,DEN,,,,
CHARLOTTE'S WEB,CLE,BAL,SEA,OAK,NYJ,BUF,TB,,
CPO4,PHI,LAC,ATL,BAL,JAX,,,,
DISCO STU,PHI,ATL,HOU,MIN,BAL,,,,
DOLPHIN DOLL,MIN,BAL,SEA,TEN,BUF,NYG,TB,MIA,
EL CASTIGADOR NUMERO DEUX,NE,KC,LA,JAX,,,,,
EL CASTIGADOR NUMERO UNO,NO,CLE,SEA,OAK,NYJ,DET,,,
ESKIMO BROS,KC,PHI,SEA,JAX,CAR,,,,
FAUDA,NE,KC,LA,JAX,,,,,
FOREVER AVERAGE,NE,PHI,LA,PIT,,,,,
GOLDEN THUNDER,LA,LAC,OAK,TEN,NYG,,,,
GONE FISHIN,NE,NO,CHI,LAC,,,,,
GREEN GRUNTS,PHI,NO,HOU,IND,CIN,,,,
GREEN TEAM,KC,NO,MIN,JAX,NYJ,,,,
HONEJOAN,KC,NO,BAL,SEA,CAR,,,,
HOROWITZ,KC,PHI,GB,BAL,BUF,,,,
I CHUG BEER FAST,PHI,LAC,CLE,MIN,NYJ,,,,
IK,NE,LA,CHI,LAC,,,,,
JAKYLEBEANCY,PHI,LAC,HOU,GB,TEN,,,,
JERCO,NE,KC,PHI,SEA,,,,,
JLOPRESTI,KC,CLE,ATL,DAL,NYJ,,,,
JUDES,CLE,DAL,TEN,BUF,NYG,TB,DET,CIN,
KING AND QUEEN,KC,NO,LA,HOU,,,,,
KOTITE,KC,LA,BAL,BUF,TB,DET,,,
MATT G'S TEAM,NE,NO,LA,DAL,,,,,
MOJO'S MASTER,ATL,BAL,BUF,NYG,TB,DET,CIN,WAS,MIA
MR. RODGERS NEIGHBORHOOD,HOU,GB,DAL,SEA,CAR,ARI,,,
OCEAN,GB,DAL,CAR,NYJ,BUF,DET,CIN,WAS,
OUT OF LUCK,KC,NO,LA,GB,,,,,
PICKLE RICKS,KC,PIT,MIN,SEA,BUF,NYG,,,
P-LITE,NE,KC,CHI,ATL,,,,,
PRICE FIGHTERS,LAC,SF,BAL,CAR,NYJ,TEN,WAS,,
RADBRAD,PHI,LA,PIT,MIN,NYJ,,,,
ROCK BOTTOM,KC,PHI,GB,SEA,DET,,,,
ROLLIN A JEFFREY,KC,PHI,MIN,JAX,NYJ,,,,
S CUBED,GB,DAL,BAL,CAR,DEN,NYG,WAS,,
SAM I AM,KC,PHI,NO,HOU,,,,,
SON OF GERSHONI,PHI,HOU,GB,PIT,SEA,,,,
STEVIE WONDERS,KC,PHI,CHI,BAL,WAS,,,,
T-BONE,NE,KC,NO,SEA,,,,,
TEMPLE OWLS,PHI,ATL,HOU,SEA,BUF,WAS,,,
THE GUIDOS,PHI,CLE,HOU,GB,NYJ,,,,
THE HEDGE,PHI,MIN,BAL,SEA,CIN,WAS,MIA,,
THE LOSERS,NYJ,TEN,ARI,BUF,NYG,TB,DET,CIN,WAS
UNFINSIHED BUSINESS V2,PHI,CLE,GB,DAL,CAR,,,,
WHY NOT,KC,CLE,ATL,JAX,DEN,,,,
WILBER,PHI,NO,PIT,JAX,CAR,,,,
95BIRDS,PHI,NO,GB,BAL,TEN,,,,
