BROWN EYED GIRL,ATL,KC,NE,PHI,WAS,,,,,,
TECH WIZ,ATL,GB,PIT,SEA,,,,,,,
SPIKEDADAWG,BAL,KC,OAK,PHI,PIT,,,,,,
BUDZYN THE DUKE EINS,MIN,NE,NO,NYG,OAK,,,,,,
BUDZYN THE DUKE ZWEI,IND,JAX,NE,OAK,SEA,,,,,,
STRAIGHT OUTTA COBBTON,ATL,CIN,GB,LAC,TEN,WAS,,,,,
GOLDEN THUNDER,BUF,CHI,CLE,DET,LA,NYG,OAK,TB,,,
CAN'T PICK SH%T,DAL,KC,MIA,OAK,PIT,,,,,,
JERCO,DET,OAK,PIT,SEA,TB,,,,,,
MARCO,JAX,LA,OAK,PIT,SEA,TEN,,,,,
BEAN,ARI,DET,IND,NO,PHI,PIT,,,,,
LOSERS,BUF,CHI,CIN,JAX,LAC,LA,MIA ,NYJ,SF,TEN,WAS
DB LOVES BK,ARI,NE,OAK,PHI,TEN,,,,,,
BERT,BAL,GB,NYG,SF,TB,TEN,,,,,
UNFINISHED BUSINESS,CIN,CLE,GB,LAC,LA,NO,TEN,WAS,,,
DOLPHIN DOLL,BUF,CHI,CLE,JAX,LAC,LA,MIA ,TB,TEN,WAS,
HONE JOAN,BAL,DAL,KC,MIN,PIT,,,,,,
IK,GB,HOUSTON,LAC,OAK,TB,,,,,,
ZACH HANNAH,ARI,ATL,CIN,NE,PHI,,,,,,
GREEN TEAM,GB,NE,OAK,PIT,,,,,,,
SPAZ,BUF,IND,OAK,PIT,TB,TEN,,,,,
CHARLOTTE'S WEB,BAL,CHI,CLE,HOUSTON,LA,MIA,MIN,NO,NYJ,,
KIM JONG BOOM,DET,LA,NE,PIT,TB,TEN,,,,,
DISCO STU,KC,NE,NYG,TB,TEN,,,,,,
BILLS MAFIA,GB,LA,NE,PIT,TB,,,,,,
IZZY BELLA MOO STAR,DAL,NE,OAK,SEA,,,,,,,
JUDES,BAL,DET,GB,LA,MIA,TB,TEN,,,,
THE HEDGE,BUF,CIN,DET,JAX,LA,MIA,NO,SF,TB,WAS,
IN THE CATBIRD SEAT,BAL,CAR,DET,JAX,PHI,SEA,,,,,
BIG G,ATL,IND,LA,NE,SEA,,,,,,
LEGION OF BOOMER,GB,LAC,NE,PHI,TEN,,,,,,
HOROWITZ,ATL,BAL,OAK,PHI,SF,TEN,,,,,
RUBBER DUCKIES,BAL,CAR,NE,NYG,TEN,,,,,,
ESKIMO BROS,GB,LAC,NE,PHI,TEN,,,,,,
KOTITE,CAR,DAL,MIA,OAK,PIT,,,,,,
HAPPY JACK WENTZDAY,DET,LA,NE,OAK,PHI,TEN,,,,,
TEAM DAD JOKES,ARI,ATL,KC,NE,WAS,,,,,,
AVERY'S COLLEGE FUND,CIN,GB,KC,NE,TEN,,,,,,
THE MAESTERS,CLE,GB,MIA,PHI,TB,TEN,WAS,,,,
S CUBED,BAL,CAR,DAL,DEN,DET,JAX,,,,,
PICKLE RICK,DET,LA,NE,PIT,TB,TEN,,,,,
T-BONE,CHI,NE,PIT,SEA,TEN,,,,,,
BRAIN DEAD,ATL,GB,PIT,SEA,,,,,,,
STEVIE WONDERS,ATL,GB,NE,OAK,,,,,,,
STUCK IN THE MIDDLE,DAL,NE,OAK,TB,WAS,,,,,,
THE U,CIN,KC,LAC,NE,NO,TEN,,,,,
FOURTH-AND-ONE,ATL,KC,LAC,OAK,SF,TEN,,,,,
MY TWO BOYS,ATL,LAC,LA,NE,OAK,SF,,,,,
THE HARRIS BOYS,JAX,NE,PIT,SEA,TEN,,,,,,
MOJO MASTER,BUF,MIA,NE,PIT,TB,TEN,,,,,
A TEAM HAS NO NAME ,CAR,DEN,HOUSTON,IND,NYG,,,,,,
BRENDONT,BAL,GB,NE,TB,TEN,,,,,,
KING & QUEEN,GB,KC,NE,SEA,,,,,,,
THE GODS,DET,NE,PHI,SEA,TB,,,,,,
ACE NO GARY,BAL,DET,GB,KC,MIA,NO,NYJ,,,,
KOSHER KINGPIN JR,CAR,CLE,GB,LA,NE,TEN,,,,,
P-LITE,ATL,DAL,NE,PIT,,,,,,,
GUIDO,KC,NE,NO,SEA,TEN,,,,,,
LUCKY LOUIE,GB,LA,NE,PIT,TB,,,,,,
K&S,BUF,CIN,MIN,NE,NYG,TEN,,,,,
1957,DET,KC,LA,MIA,NYG,TB,TEN,,,,
